Club,DateTime,key,CuttingHeight,Temp,Weather,Lawn,speed
Surbiton Croquet Club,2020-05-26T12:00:00Z,A,6,24,Sunny,1,10.7
Surbiton Croquet Club,2020-05-26T12:00:00Z,A,6,24,Sunny,2,10.5
Surbiton Croquet Club,2020-05-26T12:00:00Z,A,6,24,Sunny,3,10.1
Surbiton Croquet Club,2020-05-26T12:00:00Z,A,6,24,Sunny,4,9.7
Surbiton Croquet Club,2020-05-26T12:00:00Z,A,6,24,Sunny,5,9.8
Surbiton Croquet Club,2020-05-26T12:00:00Z,A,6,24,Sunny,6,9.5
Surbiton Croquet Club,2020-05-26T12:00:00Z,A,6,24,Sunny,7,9.6
Surbiton Croquet Club,2020-07-21T11:00:00Z,B,5,25,Sunny,1,11.9
Surbiton Croquet Club,2020-07-21T11:00:00Z,B,5,25,Sunny,2,11.5
Surbiton Croquet Club,2020-07-21T11:00:00Z,B,5,25,Sunny,3,11.4
Surbiton Croquet Club,2020-07-21T11:00:00Z,B,5,25,Sunny,4,11.4
Surbiton Croquet Club,2020-07-21T11:00:00Z,B,5,25,Sunny,5,11.6
Surbiton Croquet Club,2020-07-21T11:00:00Z,B,5,25,Sunny,6,11.5
Surbiton Croquet Club,2020-07-21T11:00:00Z,B,5,25,Sunny,7,10.5
Surbiton Croquet Club,2020-07-30T14:00:00Z,C,5,27.5,Sunny,1,12.4
Surbiton Croquet Club,2020-07-30T14:00:00Z,C,5,27.5,Sunny,2,12.2
Surbiton Croquet Club,2020-07-30T14:00:00Z,C,5,27.5,Sunny,3,12
Surbiton Croquet Club,2020-07-30T14:00:00Z,C,5,27.5,Sunny,4,12.4
Surbiton Croquet Club,2020-07-30T14:00:00Z,C,5,27.5,Sunny,5,12.2
Surbiton Croquet Club,2020-07-30T14:00:00Z,C,5,27.5,Sunny,6,12.6
Surbiton Croquet Club,2020-07-30T14:00:00Z,C,5,27.5,Sunny,7,11.5
Surbiton Croquet Club,2020-09-04T12:00:00Z,D,5,18.5,Sunny,1,10.4
Surbiton Croquet Club,2020-09-04T12:00:00Z,D,5,18.5,Sunny,2,10.5
Surbiton Croquet Club,2020-09-04T12:00:00Z,D,5,18.5,Sunny,3,10.7
Surbiton Croquet Club,2020-09-04T12:00:00Z,D,5,18.5,Sunny,4,10.9
Surbiton Croquet Club,2020-09-04T12:00:00Z,D,5,18.5,Sunny,5,10.5
Surbiton Croquet Club,2020-09-04T12:00:00Z,D,5,18.5,Sunny,6,10.4
Surbiton Croquet Club,2020-09-04T12:00:00Z,D,5,18.5,Sunny,7,10.1
